Customer ID,Duration,Purchase Amount,Representative,Date of Call
INZ056,33,152,IN04,19-Apr-19
INZ083,120,144,IN02,6-Feb-19
INZ039,8,120,IN02,23-Apr-19
INZ182,124,12,IN05,6-Oct-19
INZ071,12,72,IN01,19-Jul-19
INZ052,62,92,IN07,15-Nov-19
INZ137,32,31,IN02,9-Oct-19
INZ037,30,73,IN03,5-Apr-19
INZ055,54,63,IN07,22-Feb-19
INZ041,57,159,IN01,3-May-19
INZ128,12,77,IN07,26-Aug-19
INZ265,79,22,IN02,24-Feb-19
INZ092,112,110,IN07,4-May-19
INZ132,34,149,IN04,2-Dec-19
INZ277,135,1,IN04,10-Jul-19
INZ108,77,3,IN06,27-Apr-19
INZ143,140,10,IN04,26-Nov-19
INZ238,92,196,IN06,4-Nov-19
INZ209,87,159,IN01,24-Nov-19
INZ069,76,167,IN03,26-Apr-19
INZ267,2,75,IN04,9-Dec-19
INZ144,93,10,IN07,28-Jun-19
INZ238,3,115,IN02,9-Dec-19
INZ197,63,43,IN04,10-Apr-19
INZ138,63,58,IN04,26-Mar-19
INZ126,91,57,IN07,29-Nov-19
INZ110,66,47,IN04,22-May-19
INZ238,145,159,IN02,27-Mar-19
INZ228,75,175,IN07,20-Aug-19
INZ246,68,63,IN04,21-Oct-19
INZ028,117,6,IN03,30-Jan-19
INZ119,80,121,IN05,29-Jan-19
INZ205,78,66,IN04,30-Sep-19
INZ283,122,45,IN01,11-Feb-19
INZ176,67,48,IN06,12-Jan-19
INZ269,140,70,IN03,17-Sep-19
INZ267,11,50,IN07,23-Sep-19
INZ075,89,14,IN01,26-Oct-19
INZ285,143,123,IN03,26-Jul-19
INZ064,123,123,IN05,29-Aug-19
INZ025,86,178,IN06,27-Oct-19
INZ019,37,154,IN04,24-Jan-19
INZ008,74,160,IN03,23-Apr-19
INZ100,23,24,IN05,27-May-19
INZ126,143,111,IN05,15-Jan-19
INZ296,37,2,IN01,13-Nov-19
INZ168,35,109,IN03,29-Apr-19
INZ048,44,85,IN01,17-Feb-19
INZ098,4,138,IN05,18-Dec-19
INZ044,111,110,IN03,1-Mar-19
INZ174,41,1,IN02,2-Aug-19
INZ184,1,191,IN04,2-Oct-19
INZ291,34,119,IN02,31-Aug-19
INZ275,45,36,IN01,5-Apr-19
INZ144,119,10,IN05,25-Jun-19
INZ276,21,99,IN05,17-Jun-19
INZ083,73,22,IN04,20-Aug-19
INZ013,2,57,IN04,6-Aug-19
INZ001,51,78,IN02,11-May-19
INZ234,36,89,IN01,19-Dec-19
INZ043,8,52,IN04,13-Feb-19
INZ050,72,122,IN05,6-Jul-19
INZ200,132,33,IN05,13-Jan-19
INZ264,15,177,IN02,25-Jan-19
INZ248,139,67,IN03,23-Apr-19
INZ159,96,200,IN01,7-May-19
INZ065,24,142,IN06,24-May-19
INZ162,124,4,IN04,13-Nov-19
INZ131,48,114,IN05,21-Feb-19
INZ217,59,146,IN03,21-Mar-19
INZ169,104,123,IN01,18-Dec-19
INZ042,70,97,IN05,6-Jul-19
INZ186,71,133,IN04,14-Oct-19
INZ082,139,149,IN01,26-Sep-19
INZ294,91,191,IN04,13-Nov-19
INZ264,31,10,IN04,26-Feb-19
INZ154,73,142,IN05,29-Aug-19
INZ071,20,19,IN05,3-Oct-19
INZ077,43,29,IN02,6-Dec-19
INZ006,100,78,IN07,9-Dec-19
INZ176,74,44,IN02,24-Sep-19
INZ130,97,34,IN03,14-Oct-19
INZ118,98,138,IN07,15-Mar-19
INZ297,90,96,IN07,20-Oct-19
INZ105,35,109,IN06,25-Jun-19
INZ062,95,180,IN01,13-Mar-19
INZ196,146,87,IN04,16-Jun-19
INZ094,90,29,IN01,28-Apr-19
INZ145,67,34,IN04,6-Mar-19
INZ273,29,155,IN06,15-Jun-19
INZ049,106,70,IN06,21-Jan-19
INZ225,22,181,IN05,12-Jul-19
INZ293,39,73,IN01,24-Aug-19
INZ009,8,70,IN03,5-Nov-19
INZ091,1,115,IN04,9-Nov-19
INZ180,128,146,IN05,7-Sep-19
INZ128,41,21,IN02,31-Jan-19
INZ080,10,170,IN02,26-Sep-19
INZ049,97,132,IN01,27-Nov-19
INZ153,31,196,IN01,11-Feb-19
INZ073,58,35,IN01,25-Sep-19
INZ030,36,83,IN03,22-Aug-19
INZ120,103,127,IN02,16-Oct-19
INZ204,123,169,IN07,30-May-19
INZ275,110,66,IN03,31-Oct-19
INZ226,83,114,IN07,10-Apr-19
INZ042,63,114,IN04,16-Jul-19
INZ300,2,181,IN05,4-Sep-19
INZ194,124,116,IN06,18-Sep-19
INZ144,142,7,IN04,3-Apr-19
INZ009,84,178,IN04,1-Mar-19
INZ227,74,192,IN06,8-May-19
INZ060,1,193,IN02,22-Aug-19
INZ109,143,142,IN05,21-Oct-19
INZ116,9,162,IN07,10-Apr-19
INZ227,34,69,IN03,20-Nov-19
INZ139,49,51,IN01,27-Nov-19
INZ197,74,39,IN07,29-Nov-19
INZ208,116,163,IN02,16-Aug-19
INZ125,50,51,IN02,21-Jul-19
INZ004,113,65,IN05,30-Jul-19
INZ117,107,127,IN02,9-Apr-19
INZ248,102,62,IN04,24-Nov-19
INZ249,121,53,IN04,12-Jul-19
INZ061,60,168,IN07,7-Apr-19
INZ092,80,60,IN05,27-May-19
INZ073,110,102,IN01,11-May-19
INZ219,17,19,IN07,2-Aug-19
INZ235,56,190,IN05,15-Apr-19
INZ245,31,33,IN07,30-Apr-19
INZ008,41,53,IN01,22-Nov-19
INZ174,97,200,IN02,3-Sep-19
INZ138,147,121,IN01,18-Mar-19
INZ255,64,12,IN03,19-Jul-19
INZ270,81,199,IN05,8-Jun-19
INZ135,41,149,IN05,20-Nov-19
INZ291,97,166,IN01,28-Jan-19
INZ267,132,8,IN03,25-Mar-19
INZ194,8,63,IN04,18-Jan-19
INZ182,136,37,IN02,22-Jun-19
INZ178,80,185,IN05,10-Jan-19
INZ050,66,51,IN04,10-Feb-19
INZ057,70,7,IN05,17-Jul-19
INZ252,70,185,IN04,6-Jul-19
INZ092,114,118,IN01,6-Dec-19
INZ195,40,136,IN05,22-May-19
INZ042,5,153,IN06,14-Dec-19
INZ060,33,102,IN04,7-Sep-19
INZ056,37,91,IN02,23-Jul-19
INZ109,54,8,IN05,20-Nov-19
INZ211,8,104,IN06,12-Oct-19
INZ286,115,160,IN05,17-Jan-19
INZ296,100,83,IN06,22-Nov-19
INZ288,127,108,IN01,14-Dec-19
INZ052,114,59,IN03,15-May-19
INZ067,126,10,IN04,8-Aug-19
INZ232,89,54,IN02,6-Mar-19
INZ117,123,78,IN06,5-Jan-19
INZ247,70,66,IN05,22-Feb-19
INZ235,24,91,IN06,26-Oct-19
INZ185,91,107,IN05,22-Aug-19
INZ112,72,126,IN04,28-Sep-19
INZ053,93,155,IN04,6-Jun-19
INZ185,92,197,IN04,1-Oct-19
INZ235,103,130,IN02,30-Jun-19
INZ007,139,43,IN03,12-Jan-19
INZ137,103,96,IN04,10-May-19
INZ159,21,45,IN02,18-Nov-19
INZ058,146,19,IN07,18-Apr-19
INZ010,51,125,IN07,13-Jun-19
INZ237,18,14,IN01,4-Dec-19
INZ245,77,35,IN03,3-May-19
INZ076,56,160,IN03,5-Jun-19
INZ170,93,106,IN02,1-Dec-19
INZ048,146,2,IN03,20-Nov-19
INZ024,146,53,IN03,2-Dec-19
INZ039,34,89,IN04,18-Feb-19
INZ076,101,64,IN05,1-Aug-19
INZ077,150,34,IN01,7-Jul-19
INZ010,43,111,IN07,4-Aug-19
INZ160,1,198,IN05,15-Aug-19
INZ180,78,15,IN02,6-Nov-19
INZ104,136,81,IN04,26-Aug-19
INZ258,83,0,IN02,19-Feb-19
INZ085,147,16,IN06,4-Jun-19
INZ170,127,62,IN06,8-Oct-19
INZ206,70,71,IN02,2-Jul-19
INZ147,14,120,IN01,12-Apr-19
INZ112,86,96,IN07,30-Mar-19
INZ116,78,11,IN04,13-Jul-19
INZ294,132,7,IN02,7-Oct-19
INZ090,33,23,IN07,23-Sep-19
INZ184,35,50,IN03,5-Dec-19
INZ174,116,57,IN01,29-Jan-19
INZ271,115,129,IN04,15-Feb-19
INZ298,68,131,IN07,23-Nov-19
INZ244,4,7,IN06,20-Jun-19
INZ085,125,170,IN04,23-Nov-19
INZ276,63,196,IN06,25-Aug-19
INZ010,97,189,IN07,16-Apr-19
INZ110,29,131,IN05,11-Feb-19
INZ071,84,137,IN03,25-Jun-19
INZ236,97,7,IN03,6-Aug-19
INZ170,127,98,IN07,13-Feb-19
INZ290,131,108,IN04,8-Apr-19
INZ058,21,166,IN07,1-Aug-19
INZ028,50,64,IN04,17-Aug-19
INZ290,103,134,IN03,14-Dec-19
INZ101,127,196,IN02,25-Jun-19
INZ292,121,8,IN03,14-Jul-19
INZ208,95,34,IN03,27-Apr-19
INZ115,102,191,IN01,25-Apr-19
INZ148,147,138,IN03,15-Aug-19
INZ133,29,179,IN05,14-Dec-19
INZ188,64,146,IN03,25-Sep-19
INZ043,106,198,IN02,28-Mar-19
INZ167,41,195,IN05,17-Nov-19
INZ189,121,64,IN04,28-Apr-19
INZ223,127,86,IN06,1-Apr-19
INZ255,30,182,IN07,8-Aug-19
INZ263,149,170,IN01,7-Jan-19
INZ231,70,85,IN06,5-Sep-19
INZ006,10,38,IN02,31-Oct-19
INZ214,46,124,IN02,25-Jul-19
INZ206,59,44,IN01,23-Aug-19
INZ209,56,118,IN06,8-Apr-19
INZ274,22,0,IN04,26-May-19
INZ001,9,25,IN07,2-Jul-19
INZ103,84,151,IN04,19-Apr-19
INZ299,127,123,IN05,12-Jan-19
INZ055,68,9,IN02,13-Sep-19
INZ144,16,65,IN05,3-Aug-19
INZ163,37,160,IN06,18-Dec-19
INZ021,38,105,IN01,12-Jan-19
INZ119,65,73,IN04,15-May-19
INZ233,13,25,IN03,14-Jun-19
INZ245,123,91,IN04,27-Nov-19
INZ008,69,41,IN05,15-Mar-19
INZ300,99,171,IN03,28-Oct-19
INZ055,32,48,IN04,5-Dec-19
INZ192,53,58,IN03,28-Mar-19
INZ295,145,68,IN02,2-Sep-19
INZ249,92,179,IN06,12-Jul-19
INZ160,68,41,IN06,26-Feb-19
INZ001,93,66,IN02,24-Feb-19
INZ035,140,61,IN04,10-Jan-19
INZ008,56,134,IN06,2-Jun-19
INZ286,141,63,IN04,29-Mar-19
INZ050,87,44,IN07,24-Feb-19
INZ125,94,195,IN06,2-Jul-19
INZ066,148,96,IN02,4-Jul-19
INZ222,91,192,IN07,26-Jun-19
INZ079,84,66,IN06,12-Dec-19
INZ248,5,170,IN07,6-Nov-19
INZ289,144,85,IN05,18-Oct-19
INZ247,48,85,IN06,20-Aug-19
INZ207,45,118,IN02,23-Jun-19
INZ193,62,197,IN05,3-Sep-19
INZ127,15,163,IN04,15-May-19
INZ173,73,127,IN07,9-Feb-19
INZ207,143,3,IN01,2-Aug-19
INZ134,124,0,IN02,20-Nov-19
INZ041,107,172,IN03,19-Aug-19
INZ233,15,183,IN01,13-Jun-19
INZ270,11,138,IN05,15-Jun-19
INZ035,28,9,IN04,7-Feb-19
INZ147,14,188,IN02,18-Feb-19
INZ148,56,58,IN06,29-Oct-19
INZ174,103,135,IN01,10-Oct-19
INZ180,68,16,IN02,7-Oct-19
INZ109,52,133,IN05,17-Jan-19
INZ186,142,187,IN05,19-Jul-19
INZ114,34,196,IN02,9-Dec-19
INZ228,34,78,IN06,12-Nov-19
INZ249,105,188,IN02,28-May-19
INZ177,26,80,IN07,30-Jul-19
INZ031,15,50,IN02,13-Oct-19
INZ055,8,103,IN06,20-Jul-19
INZ101,7,33,IN02,14-Jul-19
INZ237,5,106,IN01,5-Feb-19
INZ051,105,58,IN05,4-Jun-19
INZ295,128,44,IN03,20-Mar-19
INZ115,66,2,IN03,8-Jun-19
INZ042,69,191,IN04,8-Nov-19
INZ264,84,139,IN01,20-Dec-19
INZ231,107,114,IN03,7-Mar-19
INZ235,92,70,IN01,12-Jan-19
INZ208,147,197,IN07,22-Nov-19
INZ183,13,137,IN01,19-Aug-19
INZ012,100,122,IN01,21-Mar-19
INZ058,55,80,IN07,12-Jun-19
INZ272,141,23,IN07,26-Nov-19
INZ293,91,37,IN07,15-Jan-19
INZ073,21,200,IN02,2-Jun-19
INZ041,35,141,IN02,4-Nov-19
INZ227,10,189,IN03,17-Feb-19
INZ270,110,111,IN03,14-Jul-19
INZ004,115,174,IN05,28-Nov-19
INZ268,1,36,IN05,26-Jul-19
INZ211,34,67,IN02,8-Feb-19
INZ270,149,152,IN05,4-Sep-19
INZ077,47,117,IN02,11-Aug-19
INZ055,30,200,IN07,15-May-19
INZ018,74,107,IN06,15-Nov-19
INZ164,95,20,IN06,23-Sep-19
INZ141,85,78,IN03,25-Mar-19
INZ298,51,187,IN05,4-Aug-19
INZ206,34,4,IN01,5-Sep-19
INZ184,27,131,IN06,27-Oct-19
INZ280,138,113,IN07,6-Mar-19
INZ194,24,160,IN07,4-Aug-19
INZ094,45,96,IN02,16-Aug-19
INZ079,52,16,IN04,26-Aug-19
INZ204,145,167,IN01,29-Aug-19
INZ277,102,122,IN04,15-Feb-19
INZ055,66,170,IN04,10-Oct-19
INZ214,116,105,IN01,16-Dec-19
INZ029,64,172,IN01,10-Apr-19
INZ218,90,155,IN07,5-Sep-19
INZ225,64,186,IN01,26-Nov-19
INZ086,5,81,IN07,12-Oct-19
INZ133,119,127,IN03,3-Jul-19
INZ205,76,43,IN02,10-Apr-19
INZ094,114,88,IN03,1-Aug-19
INZ118,94,97,IN06,23-Jul-19
INZ090,98,38,IN05,1-Mar-19
INZ024,147,80,IN05,23-Aug-19
INZ283,36,185,IN07,18-Jan-19
INZ152,19,18,IN05,18-Mar-19
INZ228,115,186,IN05,2-Jul-19
INZ241,8,162,IN01,5-May-19
INZ078,23,149,IN05,13-Aug-19
INZ019,38,128,IN07,25-Jun-19
INZ067,46,76,IN04,31-May-19
INZ255,101,66,IN06,19-Jan-19
INZ180,86,138,IN02,6-Feb-19
INZ100,89,177,IN04,8-Feb-19
INZ072,109,7,IN03,22-Jun-19
INZ170,56,27,IN07,2-Apr-19
INZ010,65,199,IN03,24-Jun-19
INZ028,103,102,IN04,19-Aug-19
INZ262,57,166,IN06,22-Oct-19
INZ297,134,3,IN06,26-Sep-19
INZ045,62,18,IN05,4-Mar-19
INZ053,123,182,IN06,26-Jul-19
INZ146,136,182,IN04,1-Jun-19
INZ300,61,194,IN01,9-Jun-19
INZ143,23,149,IN03,19-Sep-19
INZ159,115,24,IN05,17-Apr-19
INZ075,43,114,IN03,2-Sep-19
INZ162,55,169,IN02,16-Dec-19
INZ106,150,88,IN03,18-Jun-19
INZ211,30,16,IN02,17-Aug-19
INZ182,73,153,IN02,30-Sep-19
INZ245,98,68,IN05,15-Jun-19
INZ226,128,187,IN07,2-Mar-19
INZ098,77,84,IN01,10-Feb-19
INZ219,141,116,IN05,12-Mar-19
INZ111,114,174,IN01,6-Jan-19
INZ222,92,105,IN07,23-Jun-19
INZ294,33,16,IN07,12-Jul-19
INZ052,52,82,IN06,10-Jun-19
INZ074,17,76,IN02,1-Aug-19
INZ048,23,150,IN05,24-Jul-19
INZ292,68,106,IN04,6-Feb-19
INZ192,125,135,IN01,18-Apr-19
INZ069,14,156,IN07,27-Nov-19
INZ197,28,198,IN01,2-Jul-19
INZ004,85,182,IN06,14-Dec-19
INZ134,23,182,IN06,24-Jan-19
INZ127,65,141,IN03,22-Apr-19
INZ014,92,91,IN05,6-Aug-19
INZ097,38,128,IN07,3-Feb-19
INZ239,65,118,IN02,15-Mar-19
INZ003,53,103,IN02,15-Jun-19
INZ038,89,94,IN01,28-Nov-19
INZ202,51,171,IN07,27-Feb-19
INZ043,86,134,IN07,6-Apr-19
INZ223,43,119,IN01,22-Sep-19
INZ102,138,181,IN02,30-Apr-19
INZ079,114,144,IN06,10-May-19
INZ204,54,130,IN02,23-Jan-19
INZ155,22,149,IN01,4-Jul-19
INZ038,10,39,IN05,25-Sep-19
INZ260,150,34,IN05,21-Apr-19
INZ290,37,79,IN07,6-Oct-19
INZ146,124,121,IN02,24-Jan-19
INZ002,1,200,IN07,30-Apr-19
INZ244,91,33,IN04,20-Apr-19
INZ136,4,197,IN04,24-Apr-19
INZ072,58,126,IN05,20-Jun-19
INZ111,33,109,IN01,6-May-19
INZ032,84,191,IN07,16-Dec-19
INZ134,44,93,IN02,7-Feb-19
INZ135,65,23,IN04,6-Dec-19
INZ240,128,175,IN05,15-Oct-19
INZ120,46,121,IN03,22-Jan-19
INZ136,6,97,IN04,21-Jul-19
INZ197,96,103,IN04,1-Dec-19
INZ078,108,107,IN07,4-May-19
INZ272,139,48,IN02,14-Mar-19
INZ164,60,178,IN01,2-May-19
INZ132,75,97,IN04,20-Sep-19
INZ278,112,190,IN07,23-Jan-19
INZ194,57,2,IN01,4-Aug-19
INZ085,138,66,IN02,6-Mar-19
INZ034,25,137,IN02,30-Sep-19
INZ085,70,48,IN07,20-Mar-19
INZ058,65,159,IN02,2-Jun-19
INZ281,125,167,IN04,7-Jan-19
INZ171,150,60,IN06,4-Nov-19
INZ203,102,111,IN07,10-Nov-19
INZ268,77,140,IN04,27-Sep-19
INZ260,86,58,IN01,6-Jan-19
INZ226,104,191,IN02,27-Jan-19
INZ063,145,34,IN07,31-Aug-19
INZ213,89,158,IN03,17-Jan-19
INZ055,31,199,IN06,14-Feb-19
INZ064,64,80,IN03,19-Jul-19
INZ259,36,161,IN02,8-Oct-19
INZ025,58,146,IN04,26-Oct-19
INZ237,105,104,IN04,27-Feb-19
INZ070,48,54,IN03,1-Jul-19
INZ025,71,78,IN05,10-Oct-19
INZ299,35,161,IN04,20-Feb-19
INZ199,85,191,IN05,29-Jan-19
INZ299,5,99,IN07,7-Dec-19
INZ181,100,169,IN07,27-Nov-19
INZ215,121,188,IN01,26-Nov-19
INZ007,110,40,IN03,15-Oct-19
INZ159,123,115,IN03,10-May-19
INZ137,34,136,IN03,13-Aug-19
INZ237,138,0,IN04,16-Feb-19
INZ208,39,57,IN06,19-Jul-19
INZ031,104,163,IN03,26-Aug-19
INZ004,106,124,IN03,1-Feb-19
INZ097,38,1,IN02,8-Jan-19
INZ059,122,186,IN05,14-May-19
INZ174,32,111,IN07,9-Aug-19
INZ187,80,123,IN02,23-Feb-19
INZ006,96,132,IN02,24-Mar-19
INZ135,18,0,IN02,26-Jun-19
INZ136,112,153,IN02,5-Aug-19
INZ100,3,160,IN03,27-Jan-19
INZ127,127,52,IN04,20-Jun-19
INZ009,115,7,IN02,6-Jul-19
INZ241,14,71,IN06,7-Apr-19
INZ234,46,14,IN06,4-Mar-19
INZ073,72,50,IN06,31-Jan-19
INZ117,75,166,IN07,25-Oct-19
INZ132,147,68,IN02,3-May-19
INZ166,97,176,IN02,17-Aug-19
INZ206,123,190,IN07,30-Jul-19
INZ081,96,41,IN01,8-Nov-19
INZ277,133,114,IN02,22-May-19
INZ190,121,129,IN05,1-Dec-19
INZ095,125,111,IN02,21-Feb-19
INZ164,26,43,IN05,30-Aug-19
INZ109,108,33,IN02,5-May-19
INZ290,110,13,IN04,12-Jun-19
INZ092,118,52,IN02,11-Dec-19
INZ059,21,129,IN02,13-Dec-19
INZ118,47,139,IN04,26-Jul-19
INZ018,94,57,IN07,5-Feb-19
INZ270,71,15,IN02,22-Feb-19
INZ284,26,64,IN03,14-Sep-19
INZ219,142,18,IN01,3-Jul-19
INZ262,12,8,IN06,8-Nov-19
INZ268,26,52,IN03,15-Jun-19
INZ083,95,7,IN04,6-Feb-19
INZ025,64,174,IN02,11-Sep-19
INZ153,32,69,IN06,10-Nov-19
INZ274,40,3,IN02,21-Aug-19
INZ103,20,0,IN07,25-Mar-19
INZ279,99,40,IN03,16-Nov-19
INZ173,51,197,IN01,2-Nov-19
INZ288,62,137,IN07,21-Apr-19
INZ256,85,9,IN05,14-Dec-19
INZ218,23,21,IN05,1-Feb-19
INZ007,50,123,IN06,5-Mar-19
INZ067,145,18,IN01,8-Sep-19
INZ033,69,45,IN03,23-Aug-19
INZ050,95,127,IN01,1-Feb-19
INZ101,103,153,IN06,11-Dec-19
INZ257,3,97,IN05,18-Oct-19
INZ256,48,65,IN05,31-May-19
INZ108,91,77,IN07,18-Jul-19
INZ194,112,80,IN06,29-Nov-19
INZ173,110,5,IN03,10-Jul-19
INZ119,107,120,IN05,3-Feb-19
INZ042,65,130,IN05,15-Jul-19
INZ148,88,7,IN03,4-Nov-19
INZ240,6,100,IN03,30-Jan-19
INZ287,104,9,IN06,8-Dec-19
INZ203,29,57,IN04,3-Feb-19
INZ222,77,42,IN04,26-Mar-19
INZ187,92,5,IN05,14-May-19
INZ184,94,94,IN04,29-Sep-19
INZ182,133,21,IN04,19-Apr-19
INZ135,67,78,IN04,18-Oct-19
INZ295,64,28,IN06,8-Feb-19
INZ140,39,177,IN04,26-Aug-19
INZ231,104,125,IN05,1-Dec-19
INZ136,104,136,IN02,6-Mar-19
INZ183,21,3,IN07,14-Dec-19
INZ069,71,178,IN07,26-Aug-19
INZ179,113,82,IN02,12-Jul-19
INZ257,95,68,IN04,28-May-19
INZ156,53,137,IN05,25-Jul-19
INZ048,51,176,IN07,13-Sep-19
INZ075,124,70,IN05,24-Nov-19
INZ033,107,189,IN01,31-Mar-19
INZ155,22,58,IN01,10-Jan-19
INZ013,125,156,IN01,6-Jun-19
INZ044,132,137,IN05,30-Jun-19
INZ245,115,72,IN07,2-Nov-19
INZ127,13,82,IN06,13-Dec-19
INZ028,9,73,IN02,17-Feb-19
INZ228,46,174,IN05,1-Sep-19
INZ063,64,62,IN03,3-Mar-19
INZ201,54,8,IN05,4-Jun-19
INZ211,46,29,IN01,22-May-19
INZ071,83,124,IN02,19-Mar-19
INZ049,148,156,IN05,4-Oct-19
INZ104,13,137,IN06,15-Jan-19
INZ046,57,183,IN05,5-Apr-19
INZ083,23,21,IN03,11-Jul-19
INZ116,137,97,IN05,13-Dec-19
INZ153,137,81,IN07,11-Aug-19
INZ276,53,55,IN07,18-Dec-19
INZ116,47,14,IN01,4-Sep-19
INZ236,111,200,IN01,9-Dec-19
INZ071,47,144,IN05,18-Aug-19
INZ052,79,101,IN03,11-Aug-19
INZ190,95,62,IN06,27-Oct-19
INZ254,38,99,IN07,19-Jun-19
INZ224,102,31,IN07,17-Mar-19
INZ245,101,68,IN06,2-Mar-19
INZ068,130,13,IN05,24-May-19
INZ281,13,197,IN01,8-Jun-19
INZ213,77,20,IN07,15-Sep-19
INZ062,103,134,IN07,12-Jul-19
INZ196,46,180,IN05,1-Jun-19
INZ001,63,140,IN07,13-Aug-19
INZ101,106,3,IN07,23-Mar-19
INZ130,83,149,IN03,28-Jun-19
INZ255,27,100,IN06,16-Mar-19
INZ201,26,0,IN06,10-Oct-19
INZ030,7,90,IN01,29-Mar-19
INZ122,54,148,IN04,25-Jun-19
INZ272,36,196,IN06,3-Sep-19
INZ014,133,36,IN03,11-Jul-19
INZ057,61,148,IN02,13-Jun-19
INZ168,139,114,IN02,25-May-19
INZ097,96,59,IN04,30-Apr-19
INZ210,96,141,IN05,24-Mar-19
INZ130,59,127,IN07,15-Jan-19
INZ144,95,161,IN05,15-Jun-19
INZ275,107,181,IN05,17-Sep-19
INZ168,34,162,IN04,8-Mar-19
INZ208,27,128,IN04,9-Sep-19
